"study_id","es_id","source_csv_row","con_id","ex_id","arm_design","treatment_control_correlation_used","per_effect_size_estimator","decision_status","decision_source","decision_date"
"uygur_2010_aphyhun","es001",2,"con001","ex001","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"uygur_2010_aphyhun","es002",3,"con001","ex001","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"uygur_2010_aphyhun","es003",4,"con001","ex001","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"barzegar_2014_hippo","es004",5,"con002","ex002","Independent","No","Independent-arm percentage formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"barzegar_2014_hippo","es005",6,"con002","ex002","Independent","No","Independent-arm percentage formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"barzegar_2014_hippo","es006",7,"con002","ex003","Independent","No","Independent-arm percentage formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"barzegar_2014_hippo","es007",8,"con002","ex003","Independent","No","Independent-arm percentage formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"barzegar_2014_hippo","es008",9,"con002","ex004","Independent","No","Independent-arm percentage formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"barzegar_2014_hippo","es009",10,"con002","ex004","Independent","No","Independent-arm percentage formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"hassanvand_2012_phyphar","es010",11,"con003","ex005","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"hassanvand_2012_phyphar","es011",12,"con003","ex005","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"hassanvand_2012_phyphar","es012",13,"con003","ex005","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"arjunan_2023_stress","es013",14,"con004","ex006","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"arjunan_2023_stress","es014",15,"con004","ex006","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"arjunan_2023_stress","es015",16,"con004","ex007","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
