protocol_item,description
study_id,"Unique identifier for the study. The format will be, in lower case, “first author_year_journal abbreviation.” E.g., smith_2023_jneurosc, with letters added for any non-unique IDs."
ex_cohort_id,"Unique identifier for each independent experiment involving unique cohorts of animals within a study (e.g., one group exposed to 1 h of noise, another group exposed to 2 hours of noise), using a sequential numerical format (e.g., ex001, ex002). E.g., if a single cohort of animals is assessed using multiple different assays this is still considered a single experiment (ex001) with multiple outcome measures."
outcome_id,"Unique identifier for each measurement assay or outcome reported for a specific cohort (e.g., out001, out002)."
es_id,"Effect size ID – A unique identifier for each control–experimental pair of measurements (exposure-control) used to calculate an effect size (e.g., es0001)."
shared_control,Indicate if extracted ex_cohort_id shares a control group (e.i. c_a_id—see definition below) with another extracted effect size. Code “Yes” if they share a control group.
id_notes,Notes regarding the identifier for experimental cohorts of animals or other recorded IDs.
title,Title of the study.
doi,Short form DOI of the study (starting with “10.”).
published_in,"The full name of the publisher. For journal articles, this will be the journal name; for theses, the university name."
study_notes,Comments regarding the study (e.g. atypical or complex study design requiring additional explanations).
sp_latin,"Latin binomial of the animal model used in the study (e.g., Rattus norvegicus, Mus musculus domesticus)."
sp_common,"The common name of the animal model used in teh study (e.g. brown rat, house mouse)"
strain,"Strain/breed of the animal model used in the study (e.g., Wistar, Balb-6)"
dam_age,"The dam’s age at the start of the gestation, measured in weeks. Only numbers, if they provide a range of numbers, write the mid-point (e.g., 4-6 weeks = 5 weeks)."
dam_age_notes,"Any observations related to the dam’s age, (e.g. mid-point recorded from the range 4-6 weeks)."
gest_stage_ex,"Gestation stage when the dams were exposed to chronic noise. For rats and mice, we will use the following categories: “early” stage (Day 0-7), “mid” gestation (Day 8-14), “late” gestation (Day 15 to term), or combination of these values. If not reported or unclear, code as “Not reported” or “Unclear”, respectively. For other rodent species, we will categorize post-extraction according to their appropriate developmental stages."
gest_stage_ex _notes,Notes concerning the gestation stages at which the dams were exposed to chronic noise.
exposure_span,"Total number of days the dam was exposed to the chronic noise. If it is not specified, code as “Not Specified”."
exposure_type,"Code the noise exposure as “Intermittent” if they played noise for some hours per days, or “Continuous” if they never turn the noise off during the total exposure duration."
exposure_session_duration,"Only if the exposure was intermittent, is the number of daily hours of exposure (convert minutes to hour fraction, e.g., 30 min is 0.5 h)."
ex_session_duration _notes,"Notes related to the exposure timing (e.g., if the authors provided duration in minutes, write it here)."
noise_type,"State the type of noise they used as the author states (synthetic noise, traffic playback, ultrasonic, other). For “other” add explanation in the noise_notes field."
loudness,Loudness of the noise in decibels. Leave blank if not reported.
frequency,"Frequency of the speakers used, in hertz. Leave blank if not reported."
noise_notes,Notes related to exposure conditions.
control_conditions,"Conditions under which the control animals were kept during the noise exposure phase: silence, ambient sound; white noise; other. For “other” add explanation in the control_notes field."
control_loudness,"Loudness of the control conditions in decibels, if provided."
control_notes,Notes related to control conditions (e.g. no description provided).
offspring_sex,"Sex of the offspring investigated: male, female, mixed, not reported. If not reported, the cell will be coded as “not reported”."
offspring_age,"Age in days from the parturition of offspring at the start of a behavioural test. If they state, the age as days post conception (DPC), subtract 21 days. If they give a range of days, use the mid-point (e.g. 40-60 days, use 50 and add a note). If not reported or unclear, code as “not reported” or “unclear”, respectively."
offspring_age_notes,"Notes concerning the age classes at which the animals went through the behavioural tests (e.g., if they provided a range of age, write it here)."
experimental_procedures,"Identifies if a sham control was used for a surgical or pharmacological intervention in the extracted groups of animals. Code as: “None” if no such intervention was performed. Code as “Sham”, if a placebo procedure was used as the control (e.g., saline injection, mock surgery)."
experimental_procedures_notes,"Notes on the experimental procedures (e.g., type of sham procedure)."
outcome_type,"The primary behavioural construct to standardize whether an assay measures anxiety, depression, or both. For any assay listed in Appendix 2, the outcome will be coded as either “Anxiety” or 'Depression” as specified in that table (e.g., the Elevated Plus Maze is coded as “Anxiety”). If an assay is not in Appendix 2, the classification explicitly provided by the study's authors will be used; in this case, the outcome can be coded as “Anxiety”, “Depression”, or “Both” based on their statement."
assay_type,"Type of assay used to measure anxiety or depression-like behaviours as listed in Appendix 2. Examples include Open Field Test, Tail Suspension Test, Elevated Plus Maze, Forced Swim Test, Sucrose Preference Test, Novelty Suppressed Feeding, Light-Dark Box."
assay_type_notes,"Notes on the assay (e.g., variations from a typical protocol for a given assay type)."
measurement_timing,"The timing of the behavioural test. The value should be “Light Phase”, “Dark Phase”, or “Not Reported” if the information is not provided in the study."
measurment_variable,"The specific behavioural phenomenon quantified in the assay. Examples include “Time in open arms,” “Sucrose preference”, “'Total distance travelled”, or “Immobility time”."
data type,"The data type category of the measurement recorded. Examples include “Time,” “Percentage,” “Distance”, “Count”, or “Latency”."
data_units,"The specific unit for the measurement. For some data types like “Count”, this may not be applicable (e.g., seconds “s”, or centimetres “cm”)."
data_source,"Location of extracted data in the publication. Indicate where the data (sample sizes, averages, measures of dispersion) were reported (e.g., main text, table, figure, or supplementary material). If the source is a table or figure, specify its number (e.g., Table 1, Figure 1)."
data_file,"Name of the file where a screenshot of the figure with the extracted data is saved. If the data (sample sizes, averages, measures of dispersion) was shown in a figure, the screenshot should be saved in the format: First author_year_fig_number"
co_a_id,"Label given to the relevant control group (not exposed to noise in utero) by the authors (e.g., label used in a plot presenting the measured behavioural outcome)."
ex_a_id,"Label given to the relevant noise exposed group by the authors (e.g., label given in a plot presenting the measured behavioural outcome) ."
comparison,Focal contrast label – A unique label should be created by concatenating the comparison ID (co_id) and the experiment ID (ex_id). For example: control_chronicnoise.
higher_better,Direction of outcome measurement – Indicates whether a higher mean value reflects lower levels of anxiety/depression. Options: “Yes” – Higher mean = less anxiety/depression; “No” – Higher mean = more anxiety/depression.
higher_better_notes,Notes on the direction of outcome measurement (e.g. shorter latency is better = less anxiety).
co_mean,Mean outcome measure for the offspring control group.
co_sd,Standard deviation for the offspring control group outcome measure.
co_n,Sample size for the offspring control group.
co_se,Standard error for the offspring control group outcome measure.
co_ci,"Confidence intervals for the offspring control group outcome measure. If only CI are reported, they will be transformed to SE and noted in the stat_comment column."
ex_mean,Mean for the offspring experimental group outcome measure.
ex_sd,Standard deviation for the offspring experimental group outcome measure.
ex_n,Sample size for the offspring experimental group.
ex_se,Standard error for the offspring experimental group outcome measure
ex_ci,"Confidence intervals for the offspring experimental group outcome measure. If only CI are reported, they will be transformed to SE and noted in the stat_comment column."
stat_comment,Notes regarding statistics extracted for the outcome measures.
general_comment,Any relevant overall notes for the extracted data.
