package,study_id,es_id,source_csv_row,status,decision,current_treatment,options,source
7 – Abramova 2023 identifiers and units,abramova_2023_biopsy,es168,169,Analysis decision required,Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,Reported median and quartiles are preserved; no estimate is calculated in the cross-check dataset and analysis SE remains blank.,"Use a documented established conversion in R, retain reported median/Q1/Q3, record package versions and formulas, and run a sensitivity analysis where appropriate.","included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 6"
7 – Abramova 2023 identifiers and units,abramova_2023_biopsy,es169,170,Analysis decision required,Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,Reported median and quartiles are preserved; no estimate is calculated in the cross-check dataset and analysis SE remains blank.,"Use a documented established conversion in R, retain reported median/Q1/Q3, record package versions and formulas, and run a sensitivity analysis where appropriate.","included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 7"
7 – Abramova 2023 identifiers and units,abramova_2023_biopsy,es172,173,Analysis decision required,Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,Reported median and quartiles are preserved; no estimate is calculated in the cross-check dataset and analysis SE remains blank.,"Use a documented established conversion in R, retain reported median/Q1/Q3, record package versions and formulas, and run a sensitivity analysis where appropriate.","included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 10"
7 – Abramova 2023 identifiers and units,abramova_2023_biopsy,es173,174,Analysis decision required,Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,Reported median and quartiles are preserved; no estimate is calculated in the cross-check dataset and analysis SE remains blank.,"Use a documented established conversion in R, retain reported median/Q1/Q3, record package versions and formulas, and run a sensitivity analysis where appropriate.","included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 11"
7 – Abramova 2023 identifiers and units,abramova_2023_biopsy,es176,177,Analysis decision required,Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,Reported median and quartiles are preserved; no estimate is calculated in the cross-check dataset and analysis SE remains blank.,"Use a documented established conversion in R, retain reported median/Q1/Q3, record package versions and formulas, and run a sensitivity analysis where appropriate.","included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 14"
7 – Abramova 2023 identifiers and units,abramova_2023_biopsy,es177,178,Analysis decision required,Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,Reported median and quartiles are preserved; no estimate is calculated in the cross-check dataset and analysis SE remains blank.,"Use a documented established conversion in R, retain reported median/Q1/Q3, record package versions and formulas, and run a sensitivity analysis where appropriate.","included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 15"
7 – Abramova 2023 identifiers and units,abramova_2023_biopsy,es180,181,Analysis decision required,Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,Reported median and quartiles are preserved; no estimate is calculated in the cross-check dataset and analysis SE remains blank.,"Use a documented established conversion in R, retain reported median/Q1/Q3, record package versions and formulas, and run a sensitivity analysis where appropriate.","included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 18"
7 – Abramova 2023 identifiers and units,abramova_2023_biopsy,es181,182,Analysis decision required,Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,Reported median and quartiles are preserved; no estimate is calculated in the cross-check dataset and analysis SE remains blank.,"Use a documented established conversion in R, retain reported median/Q1/Q3, record package versions and formulas, and run a sensitivity analysis where appropriate.","included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 19"
7 – Abramova 2023 identifiers and units,abramova_2023_biopsy,es184,185,Analysis decision required,Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,Reported median and quartiles are preserved; no estimate is calculated in the cross-check dataset and analysis SE remains blank.,"Use a documented established conversion in R, retain reported median/Q1/Q3, record package versions and formulas, and run a sensitivity analysis where appropriate.","included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 22"
7 – Abramova 2023 identifiers and units,abramova_2023_biopsy,es185,186,Analysis decision required,Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,Reported median and quartiles are preserved; no estimate is calculated in the cross-check dataset and analysis SE remains blank.,"Use a documented established conversion in R, retain reported median/Q1/Q3, record package versions and formulas, and run a sensitivity analysis where appropriate.","included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 23"
7 – Abramova 2023 identifiers and units,abramova_2023_biopsy,es190,191,Analysis decision required,Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,Reported median and quartiles are preserved; no estimate is calculated in the cross-check dataset and analysis SE remains blank.,"Use a documented established conversion in R, retain reported median/Q1/Q3, record package versions and formulas, and run a sensitivity analysis where appropriate.","included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 28"
7 – Abramova 2023 identifiers and units,abramova_2023_biopsy,es191,192,Analysis decision required,Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,Reported median and quartiles are preserved; no estimate is calculated in the cross-check dataset and analysis SE remains blank.,"Use a documented established conversion in R, retain reported median/Q1/Q3, record package versions and formulas, and run a sensitivity analysis where appropriate.","included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 29"
7 – Abramova 2023 identifiers and units,abramova_2023_biopsy,es194,195,Analysis decision required,Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,Reported median and quartiles are preserved; no estimate is calculated in the cross-check dataset and analysis SE remains blank.,"Use a documented established conversion in R, retain reported median/Q1/Q3, record package versions and formulas, and run a sensitivity analysis where appropriate.","included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 32"
