"study_id","es_id","source_csv_row","variable","old_value","new_value","flag","rationale","decision_source","decision_date"
"oliveira_2015_jbehavbraisci","es047",48,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"oliveira_2015_jbehavbraisci","es048",49,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"oliveira_2015_jbehavbraisci","es049",50,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"oliveira_2015_jbehavbraisci","es050",51,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"oliveira_2015_jbehavbraisci","es051",52,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"oliveira_2015_jbehavbraisci","es052",53,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es094",95,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es095",96,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es096",97,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es097",98,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es098",99,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es099",100,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
