issue_id,severity,certainty,category,study_id,es_id,csv_row,field,current_value,expected_or_review,evidence,source_file,source_locator,recommended_action
I0001,Low,Confirmed,Schema,,,,Unnamed: 70,entirely blank column,remove in next version,The column has no values and is not an extraction item in Protocol Table 5.,protocol/PCNE_protocol_v.4_111425.docx,Table 5,Drop only in the corrected copy; retain the original CSV unchanged.
I0002,Medium,Confirmed,Schema,,,,higher_better_notes / higher_better_notes.1,duplicate source header resolved by pandas suffix,two uniquely named fields or one consolidated notes field,Protocol Table 5 defines one higher_better_notes field; the CSV contains two identically named source headers.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item higher_better_notes",Determine the meaning of the first duplicate (it appears to contain direction labels) and rename explicitly in the corrected copy.
I0003,Low,Confirmed,Coding,uygur_2010_aphyhun,es001,2,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0004,Low,Confirmed,Coding,uygur_2010_aphyhun,es001,2,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0005,Low,Confirmed,Coding,uygur_2010_aphyhun,es002,3,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0006,Low,Confirmed,Coding,uygur_2010_aphyhun,es002,3,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0007,Low,Confirmed,Coding,uygur_2010_aphyhun,es003,4,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0008,Low,Confirmed,Coding,uygur_2010_aphyhun,es003,4,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0009,Low,Confirmed,Coding,barzegar_2014_hippo,es004,5,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0010,Low,Confirmed,Coding,barzegar_2014_hippo,es004,5,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0011,Low,Confirmed,Coding,barzegar_2014_hippo,es005,6,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0012,Low,Confirmed,Coding,barzegar_2014_hippo,es005,6,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0013,Low,Confirmed,Coding,barzegar_2014_hippo,es006,7,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0014,Low,Confirmed,Coding,barzegar_2014_hippo,es006,7,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0015,Low,Confirmed,Coding,barzegar_2014_hippo,es007,8,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0016,Low,Confirmed,Coding,barzegar_2014_hippo,es007,8,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0017,Low,Confirmed,Coding,barzegar_2014_hippo,es008,9,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0018,Low,Confirmed,Coding,barzegar_2014_hippo,es008,9,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0019,Low,Confirmed,Coding,barzegar_2014_hippo,es009,10,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0020,Low,Confirmed,Coding,barzegar_2014_hippo,es009,10,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0021,Low,Confirmed,Coding,hassanvand_2012_phyphar,es010,11,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0022,Low,Confirmed,Coding,hassanvand_2012_phyphar,es010,11,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0023,Low,Confirmed,Coding,hassanvand_2012_phyphar,es011,12,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0024,Low,Confirmed,Coding,hassanvand_2012_phyphar,es011,12,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
