"column","reason","nonblank_values","recovery_location","cleanup_date"
"source_csv_row","Audit-only source row number; es_id is the stable unique row identifier.",207,"Data/PCN_data_ext_checking_v.7_all_independent_arms.csv","2026-08-13"
"control_loudness","Completely empty in all 207 rows.",0,"Data/PCN_data_ext_checking_v.7_all_independent_arms.csv","2026-08-13"
"comparison_structure","Constant after the approved decision that all 207 treatment-control arms are independent; retained in the separate arm-design register.",207,"Data/PCN_data_ext_checking_v.7_all_independent_arms.csv","2026-08-13"
"c_se","Ambiguous legacy SE field superseded by c_se_reported and c_se_analysis.",151,"Data/PCN_data_ext_checking_v.7_all_independent_arms.csv","2026-08-13"
"c_ci","Completely empty in all 207 rows.",0,"Data/PCN_data_ext_checking_v.7_all_independent_arms.csv","2026-08-13"
"ex_se","Ambiguous legacy SE field superseded by ex_se_reported and ex_se_analysis.",151,"Data/PCN_data_ext_checking_v.7_all_independent_arms.csv","2026-08-13"
"ex_ci","Completely empty in all 207 rows.",0,"Data/PCN_data_ext_checking_v.7_all_independent_arms.csv","2026-08-13"
"checked_ML","Legacy reviewer workflow flag; superseded by the approved data-status system and audit logs.",207,"Data/PCN_data_ext_checking_v.7_all_independent_arms.csv","2026-08-13"
"checked_ML_comments","Legacy reviewer working comments; preserved in v7 but not needed in the clean analysis sheet.",125,"Data/PCN_data_ext_checking_v.7_all_independent_arms.csv","2026-08-13"
"Unnamed: 70","Unnamed and completely empty source column.",0,"Data/PCN_data_ext_checking_v.7_all_independent_arms.csv","2026-08-13"
"corrections_notes_AL","Working correction notes; final corrections are preserved in versioned audit logs.",53,"Data/PCN_data_ext_checking_v.7_all_independent_arms.csv","2026-08-13"
"crosscheck_package","Temporary correction-package label; package membership is preserved in the audit files.",149,"Data/PCN_data_ext_checking_v.7_all_independent_arms.csv","2026-08-13"
"crosscheck_notes","Detailed cross-check working notes; decisions and corrections are preserved in the audit files.",149,"Data/PCN_data_ext_checking_v.7_all_independent_arms.csv","2026-08-13"
